Index,Activation,Critical accuracy,Critical error,Lambda,Nodes,Regularization,Sample size,Test accuracy,Test error,Train accuracy,Train error
59,relu,70.13666666666667,0.82695629742197,0.1,50.0,l2,5000.0,80.16625,0.8040332896585536,91.36,0.7480726606159782
20,relurelurelu,68.26,0.326823866353228,0.1,10.0,,5000.0,58.095,0.33098764831235805,59.480000000000004,0.32915364927632246
43,relurelu,66.66666666666667,0.403237719089151,0.01,100.0,l1,5000.0,53.63,0.410785975663187,54.28,0.4099684876440081
18,relurelurelu,66.66666666666667,0.33396247868853507,0.001,10.0,,5000.0,53.63,0.34417448731975314,54.28,0.3436234577173587
74,relurelurelu,66.66666666666667,0.42185434969200974,0.1,10.0,l2,5000.0,53.63,0.43193341356783455,54.28,0.43143086879026815
73,relurelurelu,66.66666666666667,0.5230297548493712,0.01,10.0,l2,5000.0,53.63,0.5302961241776449,54.28,0.529295454125671
29,relu,66.66666666666667,0.7358320928912558,0.1,10.0,l1,5000.0,53.63,0.746131317864388,54.28,0.7456176942406003
44,relurelu,66.66666666666667,4.581655975446942,0.1,100.0,l1,5000.0,53.63,4.592092601680587,54.28,4.5915722392452825
35,relu,66.66666666666667,4.339807834220997,0.1,100.0,l1,5000.0,53.63,4.3501068505157425,54.28,4.349592862631525
32,relu,66.66666666666667,2.340032643456831,0.1,50.0,l1,5000.0,53.63,2.350433669592852,54.28,2.349914864784678
50,relurelurelu,66.66666666666667,2.4627092641415125,0.1,50.0,l1,5000.0,53.63,2.473142686350321,54.28,2.472622482479194
37,relurelu,66.66666666666667,0.3401528798720385,0.01,10.0,l1,5000.0,53.63,0.3503283204308477,54.28,0.34982098498197217
46,relurelurelu,66.66666666666667,0.33892856481607386,0.01,10.0,l1,5000.0,53.63,0.34932588433147566,54.28,0.34880748052030125
47,relurelurelu,66.66666666666667,0.7385468705949945,0.1,10.0,l1,5000.0,53.63,0.7490070929268224,54.28,0.748485552820771
41,relurelu,66.66666666666667,2.396837121937685,0.1,50.0,l1,5000.0,53.63,2.407302691956434,54.28,2.406780885257387
53,relurelurelu,66.66666666666667,4.828720242211163,0.1,100.0,l1,5000.0,53.63,4.838876837039934,54.28,4.838370435601279
52,relurelurelu,66.66666666666667,0.42396489303593776,0.01,100.0,l1,5000.0,53.63,0.43343987879707585,54.28,0.4329639582201775
