Index,Activation,Critical accuracy,Critical error,Lambda,Nodes,Regularization,Sample size,Test accuracy,Test error,Train accuracy,Train error
45,tanhtanhtanh,66.66666666666667,0.5016937143691655,0.001,10.0,l1,10000.0,53.835,0.5124128390143052,54.33,0.5119989117355124
46,tanhtanhtanh,66.66666666666667,0.33837098044132297,0.01,10.0,l1,10000.0,53.835,0.34917392092166805,54.33,0.3487571819526251
47,tanhtanhtanh,66.66666666666667,0.7417756058288204,0.1,10.0,l1,10000.0,53.835,0.7525290525933209,54.33,0.75211422291615
49,tanhtanhtanh,66.66666666666667,0.3555995055305246,0.01,50.0,l1,10000.0,53.835,0.3663689559156625,54.33,0.36595350887521755
50,tanhtanhtanh,66.66666666666667,2.467744132264354,0.1,50.0,l1,10000.0,53.835,2.478542742091765,54.33,2.4781261701915973
80,tanhtanhtanh,66.66666666666667,0.3599016299251737,0.1,100.0,l2,10000.0,53.835,0.37054932174580935,54.33,0.37013852099260597
2,tanh,66.16666666666667,0.3429205740387869,0.1,10.0,,10000.0,80.53750000000001,0.22549261201290421,91.09,0.13719931370789606
28,tanh,64.34,0.30837679021397235,0.01,10.0,l1,10000.0,72.86375,0.2910262457307857,73.2,0.2873697107115315
63,tanhtanh,63.080000000000005,0.3571692587965267,0.001,10.0,l2,10000.0,73.28625,0.32647636633853017,78.87,0.29950174551360953
64,tanhtanh,61.87666666666667,0.4746555786541782,0.01,10.0,l2,10000.0,51.3325,0.4782408906562339,56.02,0.45323974825271046
11,tanhtanh,61.86000000000001,0.33523179090274424,0.1,10.0,,10000.0,70.83875,0.31312954089563877,76.03,0.2881441506340201
9,tanhtanh,61.68666666666667,0.3330947571215245,0.001,10.0,,10000.0,69.14375,0.32806007828789147,71.53,0.3231229411623593
10,tanhtanh,61.290000000000006,0.33449667343670486,0.01,10.0,,10000.0,70.7225,0.32298620157150754,73.23,0.3128360952774932
