Index,Activation,Critical accuracy,Critical error,Lambda,Nodes,Regularization,Sample size,Test accuracy,Test error,Train accuracy,Train error
5,tanh,69.36,0.33093846826459394,0.1,50.0,,5000.0,76.89625,0.285513933494648,90.94,0.15588249385578204
48,tanhtanhtanh,69.26,1.7919793358656295,0.001,50.0,l1,5000.0,60.1875,1.7988898320597033,61.26,1.7973198162749457
7,tanh,68.09666666666666,0.34076614282254275,0.01,100.0,,5000.0,76.1575,0.2794850506283032,91.9,0.13579472156573225
63,tanhtanh,67.56,0.360472318070777,0.001,10.0,l2,5000.0,57.1275,0.3692299666882845,56.36,0.3692088655145073
10,tanhtanh,66.86,0.3347696226863653,0.01,10.0,,5000.0,54.4225,0.34418322597240236,53.620000000000005,0.34452109907105916
64,tanhtanh,66.66666666666667,0.527121936810212,0.01,10.0,l2,5000.0,54.04625,0.5366736961495469,53.14,0.5370968704737512
65,tanhtanh,66.66666666666667,0.42181891753340434,0.1,10.0,l2,5000.0,54.04625,0.4317303823753035,53.14,0.4324258398175384
77,tanhtanhtanh,66.66666666666667,0.7916599184764792,0.1,50.0,l2,5000.0,54.04625,0.8014602252702956,53.14,0.8021608596358902
72,tanhtanhtanh,66.66666666666667,0.3609692026504045,0.001,10.0,l2,5000.0,54.04625,0.37098649925916666,53.14,0.3717120711435083
53,tanhtanhtanh,66.66666666666667,4.836504924452512,0.1,100.0,l1,5000.0,54.04625,4.846383785705741,53.14,4.847093169421185
73,tanhtanhtanh,66.66666666666667,0.5259422510046008,0.01,10.0,l2,5000.0,54.04625,0.5359205117719396,53.14,0.5366305603863563
74,tanhtanhtanh,66.66666666666667,0.42158240461438795,0.1,10.0,l2,5000.0,54.04625,0.43147453698790844,53.14,0.43218476333771266
40,tanhtanh,66.66666666666667,0.35567614284886884,0.01,50.0,l1,5000.0,54.04625,0.36563679060520227,53.14,0.3663520472598496
80,tanhtanhtanh,66.66666666666667,1.3083306633212575,0.1,100.0,l2,5000.0,54.04625,1.317789850677714,53.14,1.3183061120451864
52,tanhtanhtanh,66.66666666666667,0.3799662228444044,0.01,100.0,l1,5000.0,54.04625,0.3899489440014342,53.14,0.390665785710188
41,tanhtanh,66.66666666666667,2.3954612122635726,0.1,50.0,l1,5000.0,54.04625,2.405378869867667,53.14,2.4060910377976685
28,tanh,66.66666666666667,0.3393166036997319,0.01,10.0,l1,5000.0,54.04625,0.34902236187798047,53.14,0.34971939679118863
29,tanh,66.66666666666667,0.7361777421427154,0.1,10.0,l1,5000.0,54.04625,0.7461275471934703,53.14,0.746841808656741
32,tanh,66.66666666666667,2.340697202664645,0.1,50.0,l1,5000.0,54.04625,2.3505609561410523,53.14,2.351268967562529
35,tanh,66.66666666666667,4.337529872925618,0.1,100.0,l1,5000.0,54.04625,4.347625806582452,53.14,4.348350080912541
18,tanhtanhtanh,66.66666666666667,0.3347130195256883,0.001,10.0,,5000.0,54.04625,0.3449176012216984,53.14,0.345596184361218
37,tanhtanh,66.66666666666667,0.33908243247753644,0.01,10.0,l1,5000.0,54.04625,0.34899179751720855,53.14,0.349703371651493
38,tanhtanh,66.66666666666667,0.7374228854885653,0.1,10.0,l1,5000.0,54.04625,0.747248516601419,53.14,0.7479540776838275
19,tanhtanhtanh,66.66666666666667,0.33491174229685794,0.01,10.0,,5000.0,54.04625,0.34486545941062474,53.14,0.3455498573538914
20,tanhtanhtanh,66.66666666666667,0.33478589317024726,0.1,10.0,,5000.0,54.04625,0.34479948751501516,53.14,0.3454562296709023
43,tanhtanh,66.66666666666667,0.37735036321442383,0.01,100.0,l1,5000.0,54.04625,0.3876194400449814,53.14,0.38835684445711083
44,tanhtanh,66.66666666666667,4.586437137152533,0.1,100.0,l1,5000.0,54.04625,4.5964168117028805,53.14,4.59713343566625
45,tanhtanhtanh,66.66666666666667,0.6128502638037427,0.001,10.0,l1,5000.0,54.04625,0.6228314700526557,53.14,0.6235378465615579
