Index,Activation,Critical accuracy,Critical error,Lambda,Nodes,Regularization,Sample size,Test accuracy,Test error,Train accuracy,Train error
6,relu,80.79333333333334,0.33168824060942165,0.001,100.0,,10000.0,99.81875000000001,0.005756460815551284,99.93,0.002615220334700165
24,relurelurelu,80.77666666666667,0.4372997990686022,0.001,100.0,,10000.0,99.74000000000001,0.0054257335763030195,99.95,0.0015320506456562317
25,relurelurelu,80.75,0.43155286835289086,0.01,100.0,,10000.0,99.8175,0.004792010489615116,99.95,0.0013007216619286522
33,relu,80.60000000000001,1.915151871747437,0.001,100.0,l1,10000.0,99.65125,1.690989419393394,99.87,1.68596094034546
16,relurelu,80.55666666666667,0.37880425364587617,0.01,100.0,,10000.0,99.8725,0.003996813502471229,99.97,0.001297737954078401
63,relurelu,80.28,0.37212551116468345,0.001,10.0,l2,10000.0,94.52250000000001,0.130899749681479,98.4,0.0672778387431951
15,relurelu,80.08333333333334,0.40746426074221215,0.001,100.0,,10000.0,99.78125,0.005087623620157388,99.93,0.0018178145895441679
78,relurelurelu,79.85666666666667,0.7004327924069713,0.001,100.0,l2,10000.0,99.85125000000001,0.28818162337854786,99.98,0.2848019743787783
64,relurelu,79.72666666666667,0.4319661425754755,0.01,10.0,l2,10000.0,96.45,0.2378238700593647,99.10000000000001,0.20138793635276045
79,relurelurelu,79.35333333333334,1.8498235153815745,0.01,100.0,l2,10000.0,99.6275,1.5359591246742266,99.94,1.5305334915449107
57,relu,79.30333333333334,0.47962951264016523,0.001,50.0,l2,10000.0,99.42,0.13688767716667022,99.77,0.13071894150574612
18,relurelurelu,79.24000000000001,0.2761409150545592,0.001,10.0,,10000.0,95.14125,0.1202230333957573,98.39,0.05547006495465116
66,relurelu,79.16666666666667,0.558170385666326,0.001,50.0,l2,10000.0,98.61500000000001,0.15217408193313645,99.63,0.13773839071884542
13,relurelu,79.01666666666667,0.39572718612595187,0.01,50.0,,10000.0,99.6425,0.00689640408276124,99.83,0.0031047804624393734
